BLR	Belarus	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	13897.84	2010
BLR	Belarus	Total investment	Percent of GDP		42.345	2010
BLR	Belarus	Gross national savings	Percent of GDP		27.355	2010
BLR	Belarus	General government gross debt	Percent of GDP		42.039	2011
BEL	Belgium	Gross domestic product per capita, current prices	U.S. dollars	Units	43592.6	2011
BEL	Belgium	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	36716.97	2011
BEL	Belgium	Total investment	Percent of GDP		20.566	2011
BEL	Belgium	Gross national savings	Percent of GDP		21.971	2011
BEL	Belgium	General government gross debt	Percent of GDP		95.557	2011
BLZ	Belize	Gross domestic product per capita, current prices	U.S. dollars	Units	4226.24	2010
BLZ	Belize	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	8069.44	2010
BLZ	Belize	Total investment	Percent of GDP		18	2011
BLZ	Belize	Gross national savings	Percent of GDP		15.142	2011
BLZ	Belize	General government gross debt	Percent of GDP		84.569	2011
BEN	Benin	Gross domestic product per capita, current prices	U.S. dollars	Units	740.994	2010
BEN	Benin	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1575.7	2010
BEN	Benin	Total investment	Percent of GDP		17.6	2010
BEN	Benin	Gross national savings	Percent of GDP		10.303	2010
BEN	Benin	General government gross debt	Percent of GDP		30.029	2010
BTN	Bhutan	Gross domestic product per capita, current prices	U.S. dollars	Units	1940.4	0
BTN	Bhutan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	5520.69	0
BTN	Bhutan	Total investment	Percent of GDP		52.255	0
BTN	Bhutan	Gross national savings	Percent of GDP		33.683	0
BTN	Bhutan	General government gross debt	Percent of GDP		54.403	2009
BOL	Bolivia	Gross domestic product per capita, current prices	U.S. dollars	Units	1900	1981
BOL	Bolivia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	4548.81	1981
BOL	Bolivia	Total investment	Percent of GDP		17.007	2009
BOL	Bolivia	Gross national savings	Percent of GDP		24.987	2009
BOL	Bolivia	General government gross debt	Percent of GDP		38.543	2009
BIH	Bosnia and Herzegovina	Gross domestic product per capita, current prices	U.S. dollars	Units	4271.86	2010
BIH	Bosnia and Herzegovina	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	7832.8	2010
BIH	Bosnia and Herzegovina	Total investment	Percent of GDP		19.388	2010
BIH	Bosnia and Herzegovina	Gross national savings	Percent of GDP		13.655	2010
BIH	Bosnia and Herzegovina	General government gross debt	Percent of GDP		39.428	2010
BWA	Botswana	Gross domestic product per capita, current prices	U.S. dollars	Units	8142.8	2008
BWA	Botswana	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	15183.79	2008
BWA	Botswana	Total investment	Percent of GDP		29.481	2010
BWA	Botswana	Gross national savings	Percent of GDP		27.939	2010
BWA	Botswana	General government gross debt	Percent of GDP		17.563	2009
BRA	Brazil	Gross domestic product per capita, current prices	U.S. dollars	Units	11088.73	2010
BRA	Brazil	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	11314.41	2010
BRA	Brazil	Total investment	Percent of GDP		20.239	2011
BRA	Brazil	Gross national savings	Percent of GDP		18.033	2011
BRA	Brazil	General government gross debt	Percent of GDP		65.154	2011
BRN	Brunei Darussalam	Gross domestic product per capita, current prices	U.S. dollars	Units	29851.81	2010
BRN	Brunei Darussalam	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	48621.83	2010
BRN	Brunei Darussalam	Total investment	Percent of GDP		15.878	2011
BRN	Brunei Darussalam	Gross national savings	Percent of GDP			
BRN	Brunei Darussalam	General government gross debt	Percent of GDP		0	2011
BGR	Bulgaria	Gross domestic product per capita, current prices	U.S. dollars	Units	6374.12	2011
BGR	Bulgaria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	12965.22	2011
BGR	Bulgaria	Total investment	Percent of GDP		22.887	2011
BGR	Bulgaria	Gross national savings	Percent of GDP		21.844	2011
BGR	Bulgaria	General government gross debt	Percent of GDP		14.937	2011
BFA	Burkina Faso	Gross domestic product per capita, current prices	U.S. dollars	Units	544.403	2010
BFA	Burkina Faso	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1261.22	2010
BFA	Burkina Faso	Total investment	Percent of GDP		18.345	2010
BFA	Burkina Faso	Gross national savings	Percent of GDP		16.018	2010
BFA	Burkina Faso	General government gross debt	Percent of GDP		27.115	2010
BDI	Burundi	Gross domestic product per capita, current prices	U.S. dollars	Units	242.21	0
BDI	Burundi	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	582.152	0
BDI	Burundi	Total investment	Percent of GDP		19.92	2009
BDI	Burundi	Gross national savings	Percent of GDP		10.111	2009
BDI	Burundi	General government gross debt	Percent of GDP		36.732	2009
KHM	Cambodia	Gross domestic product per capita, current prices	U.S. dollars	Units	752.677	2008
KHM	Cambodia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	2068.02	2008
KHM	Cambodia	Total investment	Percent of GDP		17.348	2011
KHM	Cambodia	Gross national savings	Percent of GDP		13.431	2011
KHM	Cambodia	General government gross debt	Percent of GDP		29.059	2011
CMR	Cameroon	Gross domestic product per capita, current prices	U.S. dollars	Units	1100.09	2010
CMR	Cameroon	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	2176.01	2010
CMR	Cameroon	Total investment	Percent of GDP		16.12	2010
CMR	Cameroon	Gross national savings	Percent of GDP		13.108	2010
CMR	Cameroon	General government gross debt	Percent of GDP		12.142	2010
CAN	Canada	Gross domestic product per capita, current prices	U.S. dollars	Units	46282.86	2011
CAN	Canada	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	39154.66	2011
CAN	Canada	Total investment	Percent of GDP		22.204	2011
CAN	Canada	Gross national savings	Percent of GDP		19.074	2011
CAN	Canada	General government gross debt	Percent of GDP		85.061	2011
CPV	Cape Verde	Gross domestic product per capita, current prices	U.S. dollars	Units	3242.19	2007
CPV	Cape Verde	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	3730.33	2007
CPV	Cape Verde	Total investment	Percent of GDP		37.804	2008
CPV	Cape Verde	Gross national savings	Percent of GDP		25.337	2008
CPV	Cape Verde	General government gross debt	Percent of GDP		74.958	2011
CAF	Central African Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	429.122	2004
