Morocco	2850.86	4794.02	34.791	30.448	51.28
Mozambique	442.353	1014.19	21.859	10.2	41.116
Myanmar	741.666	1254.53	16.013	16.834	52.988
Namibia	5244.09	7015.65	28.112	28.384	15.669
Nepal	532.578	1198.0	37.068	34.699	35.447
Netherlands	47017.49	40888.01	17.981	25.028	62.863
New Zealand	32061.17	27357.24	19.338	16.336	32.456
Nicaragua	1133.28	3036.93	25.801	11.428	79.892
Niger	370.481	760.951	38.628	17.729	17.588
Nigeria	1465.15	2419.82	23.057	28.927	15.495
Norway	85055.45	52178.61	22.44	34.867	49.608
Oman	19867.41	26474.73	27.495	36.102	5.261
Pakistan	1027.65	2702.39	15.566	13.33	61.607
Panama	7539.17	12706.52	25.976	15.212	39.191
Paraguay	3238.38	5957.25	16.226	13.137	13.731
Peru	5207.3	9358.03	25.266	22.808	24.55
Philippines	2123.08	3920.31	20.541	25.011	43.462
Poland	12307.74	18961.08	21.0	14.397	54.843
Portugal	21537.99	23261.54	19.598	9.947	93.32
Qatar	74901.42	88291.56	30.448	57.1	38.69
Romania	7667.22	11904.14	24.832	20.386	31.197
Russia	10407.93	15657.16	20.695	25.399	11.818
Rwanda	558.669	1228.51	21.737	15.798	23.209
Sﾋo Tomﾎ and Prﾒncipe	1215.49	2140.62	48.443	20.852	78.194
Saudi Arabia	16541.1	22818.04	22.612	37.252	9.768
Senegal	1036.07	1930.09	29.708	25.297	35.695
Serbia	4891.53	10120.05	16.472	9.024	46.488
Seychelles	10727.49	23891.46	36.684	16.604	82.486
Sierra Leone	435.714	1073.2	24.293	5.003	48.935
Singapore	43864.74	56708.69	22.128	46.54	101.232
Slovak Republic	16049.85	22121.86	23.445	19.845	41.066
Slovenia	23407.25	28111.3	21.067	20.48	38.579
Solomon Islands	1266.95	2894.28	36.076	5.262	27.809
South Africa	7270.8	10540.87	19.426	16.61	35.255
Spain	30207.75	29751.38	22.812	18.29	61.316
St. Kitts and Nevis	12216.26	15871.1	48.0	25.887	163.863
St. Lucia	7299.99	12742.39	32.434	17.311	65.214
St. Vincent and the Grenadines	6165.23	11306.17	25.467	-6.104	66.843
Sudan	1615.84	2277.52	20.163	18.03	73.986
Swaziland	3130.65	5156.34	12.232	1.724	15.937
Sweden	49844.85	38474.44	17.946	24.725	38.82
Syria	2802.65	5040.58	24.198	20.89	29.404
Taiwan Province of China	18572.75	35595.46	22.804	32.401	38.137
Tajikistan	740.733	1941.58	16.579	16.324	36.342
Tanzania	553.838	1510.53	32.027	24.146	42.703
Thailand	4992.43	9225.88	25.935	30.067	42.644
Togo	527.069	1000.4	18.863	12.567	48.602
Trinidad and Tobago	15826.6	19980.93	15.255	35.262	35.113
Tunisia	4199.35	9459.9	26.383	21.63	40.454
Turkey	10017.3	13293.92	19.523	13.145	42.396
Uganda	508.026	1331.69	24.29	14.083	27.022
Ukraine	2979.67	6698.04	18.467	16.255	40.505
United Arab Emirates	54411.12	45759.38	21.658	25.028	22.332
United Kingdom	36441.71	35730.86	15.049	12.507	74.976
United States	46811.2	46811.2	15.469	12.212	98.617
Uruguay	11741.7	14049.0	18.558	17.053	57.908
Uzbekistan	1367.13	3021.17	30.667	36.819	9.961
Venezuela	10099.46	12048.42	21.972	26.85	40.202
Vietnam	1173.56	3143.0	39.043	34.904	54.038
Yemen	1272.49	2598.59	11.641	7.192	40.903
Zambia	1221.26	1516.53	22.567	29.635	25.756
Zimbabwe	591.104	460.857	24.33	-4.474	56.57
